,Latitude,Longitude,O3BelowCloud,UVAerosolIndex
310,-79.42294,-76.59503,0.0,-0.918162
311,-78.95373,-76.11507,0.0,-1.0008754
312,-78.46762,-75.62585,0.0,-0.8956949
313,-77.96007,-75.121254,0.0,-0.84045494
314,-77.42574,-74.59456,0.0,-0.792073
315,-76.85823,-74.03818,0.0,-0.8334388
316,-76.24965,-73.443375,0.0,-0.82108945
317,-75.59001,-72.7999,0.0,-0.6154485
318,-74.8663,-72.09546,-0.0,-0.45475802
319,-74.06097,-71.3151,-1.2676506e+30,-1.2676506e+30
320,-73.14936,-70.44019,-1.2676506e+30,-1.2676506e+30
321,-72.0951,-69.44689,-1.2676506e+30,-1.2676506e+30
322,-70.84078,-68.3035,-1.2676506e+30,-1.2676506e+30
323,-69.19889,-66.89097,-1.2676506e+30,-1.2676506e+30
324,-86.31154,108.76646,0.0,0.50441617
325,-88.096664,123.73268,0.0,0.7072758
326,-89.030045,163.4814,0.0,0.5463245
327,-88.86207,-134.21533,0.0,0.31674162
328,-88.130844,-110.370415,0.0,0.31801248
329,-87.377914,-101.07078,0.0,0.09144072
330,-86.67583,-96.110886,0.0,-0.5435167
331,-86.02748,-92.92852,0.0,0.2083597
332,-85.42611,-90.645615,0.0,-0.3144305
333,-84.86404,-88.88491,0.0,-0.86640763
334,-84.33435,-87.45735,0.0,-0.70998925
335,-83.83108,-86.25711,0.0,-0.7538706
336,-83.349075,-85.21967,0.0,-0.6979112
337,-82.88389,-84.30299,0.0,-0.53428376
338,-82.431595,-83.47805,0.0,-0.7741876
339,-81.98864,-82.72385,0.0,-0.9477129
340,-81.55177,-82.02451,0.0,-0.79641604
341,-81.24788,-81.561966,0.0,-0.78229624
342,-81.031166,-81.24114,0.0,-0.64437526
343,-80.683975,-80.74273,0.0,-0.6234157
344,-80.247055,-80.14136,0.0,-0.69139934
345,-79.80403,-79.55574,0.0,-0.5681271
346,-79.35165,-78.978775,0.0,-0.68782824
347,-78.886375,-78.403656,0.0,-0.86798286
348,-78.40427,-77.823616,0.0,-0.7943245
349,-77.900826,-77.23161,0.0,-0.8635318
350,-77.370766,-76.620125,0.0,-0.8340348
351,-76.80775,-75.98084,0.0,-0.87890935
352,-76.20395,-75.30433,0.0,-0.9424346
353,-75.54946,-74.579636,0.0,-0.7228835
354,-74.83137,-73.79375,0.0,-0.5484601
355,-74.03223,-72.93089,0.0,-0.07440296
356,-73.127556,-71.97144,-1.2676506e+30,-1.2676506e+30
357,-72.08114,-70.890305,-1.2676506e+30,-1.2676506e+30
358,-70.835815,-69.654,-1.2676506e+30,-1.2676506e+30
359,-69.20502,-68.13538,-1.2676506e+30,-1.2676506e+30
360,-86.30821,115.40495,0.0,0.41233033
361,-87.96142,135.6522,0.0,0.037248217
362,-88.66173,174.95755,0.0,-0.057481736
363,-88.4556,-140.90079,0.0,0.2931556
364,-87.81615,-118.951,0.0,-0.24896175
365,-87.119835,-108.444046,0.0,0.057101414
366,-86.45259,-102.4148,0.0,0.17901863
367,-85.82803,-98.444374,0.0,-0.6373556
368,-85.24426,-95.57524,0.0,0.16576098
369,-84.696014,-93.36425,0.0,-0.34571853
370,-84.17764,-91.579636,0.0,-0.63586324
371,-83.683945,-90.0882,0.0,-0.76988006
372,-83.21025,-88.80752,0.0,-0.95826876
373,-82.75243,-87.6834,0.0,-0.972564
374,-82.30678,-86.6784,0.0,-1.020517
375,-81.8699,-85.76542,0.0,-0.8833243
376,-81.43866,-84.92413,0.0,-0.8029226
377,-81.138504,-84.37037,0.0,-0.75940496
378,-80.92437,-83.98793,0.0,-0.7722084
379,-80.5812,-83.39624,0.0,-0.7392244
380,-80.14912,-82.68609,0.0,-0.6823889
381,-79.71081,-81.998886,0.0,-0.69316417
382,-79.26306,-81.326225,0.0,-0.8097481
383,-78.80241,-80.6602,0.0,-0.8138393
384,-78.32495,-79.99308,0.0,-0.80269456
385,-77.82625,-79.31702,0.0,-0.806067
386,-77.30107,-78.62376,0.0,-0.8529922
387,-76.74315,-77.904305,0.0,-0.7850723
388,-76.14473,-77.148575,0.0,-1.045059
389,-75.495995,-76.34494,0.0,-0.68379164
390,-74.784134,-75.47969,0.0,-0.4986437
391,-73.99182,-74.53625,0.0,-0.29755548
392,-73.09473,-73.494,-1.2676506e+30,-1.2676506e+30
393,-72.05683,-72.326614,-1.2676506e+30,-1.2676506e+30
394,-70.82125,-70.99879,-1.2676506e+30,-1.2676506e+30
395,-69.2024,-69.37534,-1.2676506e+30,-1.2676506e+30
396,-86.25603,121.924736,0.0,0.43457556
397,-87.75096,145.68944,0.0,0.41638362
398,-88.264084,-178.68558,0.0,0.20795539
399,-88.037895,-144.77692,0.0,0.65592426
400,-87.46611,-125.26717,0.0,0.07399528
401,-86.82312,-114.520905,0.0,-0.7903041
402,-86.1926,-107.91303,0.0,-0.22871354
403,-85.59445,-103.414314,0.0,-0.31555164
404,-85.03075,-100.110085,0.0,-0.84130573
405,-84.49844,-97.5442,0.0,-0.78307235
406,-83.993225,-95.4667,0.0,-0.3603656
407,-83.51067,-93.729515,0.0,-0.85266083
